S.No,Lead first name,Lead last name,Lead ID,Lead Source,Campaign name,Campaign ID,Lead Created Date,UCIC,Mobile Number,Alternate Mobile,Email ID,Date of Birth,PAN,PAN Attachment,City,District,State,Pincode,Country,Portfolio,Product,Offer Amount,Offer Valid Till,Assigned To,Branch,Region,Zone,Lead Status,Reason Code,Reason,Next Follow-up Date,LAN No.,Status Updated On,Duplicate Flag,Last Modified By,Last Modified On,Occupation,Employment Type,First Response (hrs),SLA Breached
816,Rashmi,Shetty,AFL-RET-000816,PQ Campaign,Shubh Vivah FEB26,CMP-2026-0015,2026-02-05 19:37:00,311972939,9665325082,,rashmi.shetty@gmail.com,2003-06-14,,,Bengaluru,Bengaluru Urban,Karnataka,560047,India,Retail Personal Loans,Kushal Personal Loan,500000,2026-03-07,Vinay Nair,Bengaluru — Koramangala,Karnataka Region,South Zone,Rejected,REJ-09,Property title not clear,,,2026-02-08 09:52:00,No,Vinay Nair,2026-02-08 09:52:00,Salaried — MNC,Salaried,,No
817,Mrunal,Vora,AFL-RET-000817,PQ Campaign,Vyapar Vriddhi MAR26,CMP-2026-0020,2026-03-23 10:37:00,406210106,7234816673,6247558596,mrunal.vora@outlook.com,1989-04-18,SQNPP2424F,PAN_Mrunal_Vora.pdf,Ahmedabad,Ahmedabad,Gujarat,380015,India,Business & MSME Loans,Vyapar Business Loan,1100000,2026-05-22,Swapnil Vora,Ahmedabad — CG Road,Gujarat Region,West Zone,Disbursed,,,,AFLRET26000183,2026-04-10 11:50:00,No,Swapnil Vora,2026-04-10 11:50:00,Business Owner,Self-Employed,0.2,No
818,Janani,Ravichandran,AFL-RET-000818,PQ Campaign,Shubh Vivah DEC25,CMP-2025-0011,2025-12-05 12:31:00,225103934,7191111459,,janani.ravichandran@gmail.com,1996-11-21,,,Madurai,Madurai,Tamil Nadu,625014,India,Retail Personal Loans,Medical Emergency Loan,115000,2026-01-04,Kavya Krishnan,Madurai — Anna Nagar,Tamil Nadu Region,South Zone,Not interested,NI-07,Tenure offered not suitable,,,2025-12-11 09:48:00,No,Kavya Krishnan,2025-12-11 09:48:00,Salaried — Private Sector,Salaried,9,Yes
819,Rahul,Yadav,AFL-RET-000819,PQ Campaign,Grah Sajawat OCT25,CMP-2025-0005,2025-10-16 14:37:00,995878657,6549050105,,rahul.yadav@gmail.com,1993-10-21,,,New Delhi,West Delhi,Delhi,110027,India,Retail Personal Loans,Home Renovation Loan,300000,2025-11-15,Nitin Mishra,Delhi — Rajouri Garden,Delhi NCR Region,North Zone,Not interested,NI-04,Requirement postponed,,,2025-10-20 11:36:00,No,Nitin Mishra,2025-10-20 11:36:00,Business Owner,Self-Employed,0.2,No
820,Hetal,Desai,AFL-RET-000820,Website,Grah Sajawat SEP26,CMP-2026-0040,2026-09-05 16:12:00,,7337074605,,hetal.desai@gmail.com,1999-04-06,,,Pune,Pune,Maharashtra,411061,India,Retail Personal Loans,Home Renovation Loan,135000,2026-10-20,Sneha Parikh,Pune — Wakad,Maharashtra Region,West Zone,New,,,,,2026-09-05 16:27:00,No,Sneha Parikh,2026-09-05 16:27:00,Salaried — MNC,Salaried,,Yes
821,Tarun,Bansal,AFL-RET-000821,Social media,Gold Utsav NOV25,CMP-2025-0009,2025-11-19 14:37:00,,6623952627,,tarun.bansal@gmail.com,1998-05-20,,,Amritsar,Amritsar,Punjab,143002,India,Gold & Secured Loans,Loan Against Securities,5000000,2025-12-19,Rahul Malhotra,Amritsar — Lawrence Road,North India Region,North Zone,Not interested,NI-06,Family / spouse declined,,,2025-11-20 09:37:00,No,Rahul Malhotra,2025-11-20 09:37:00,Self-Employed Non-Professional,Self-Employed,0.2,No
822,Naveen,Bansal,AFL-RET-000822,Website,Vyapar Vriddhi JAN26,CMP-2026-0013,2026-01-22 13:31:00,,6619306951,,naveen.bansal9@rediffmail.com,1978-04-22,,,New Delhi,West Delhi,Delhi,110026,India,Retail Home Loans,Plot + Construction Loan,5500000,2026-03-23,Arjun Sethi,Delhi — Rajouri Garden,Delhi NCR Region,North Zone,Not interested,NI-05,Processing fee not acceptable,,,2026-01-27 09:57:00,No,Arjun Sethi,2026-01-27 09:57:00,Salaried — MNC,Salaried,0.2,No
823,Bhaskar,Prasad,AFL-RET-000823,Website,Property Power APR26,CMP-2026-0023,2026-04-25 16:00:00,861226371,7887925589,9914105025,bhaskar.prasad13@rediffmail.com,1986-04-11,,,Hyderabad,Hyderabad,Telangana,500033,India,Loan Against Property,Loan Against Property,4100000,2026-06-24,Sirisha Prasad,Hyderabad — Banjara Hills,Telangana Region,South Zone,Not interested,NI-01,Rate of interest too high,,,2026-05-01 11:03:00,No,Sirisha Prasad,2026-05-01 11:03:00,Salaried — Private Sector,Salaried,8.3,Yes
824,Sudeshna,Mukherjee,AFL-RET-000824,Landing page,Swasthya Care JUL26,CMP-2026-0032,2026-07-26 13:12:00,598280605,7702836435,,sudeshna.mukherjee70@outlook.com,1973-03-23,ZJSPF8782F,PAN_Sudeshna_Mukherjee.pdf,Howrah,Howrah,West Bengal,711104,India,Loan Against Property,Lease Rental Discounting,79000000,2026-08-25,Ananya Das,Howrah — Shibpur,West Bengal Region,East Zone,Disbursed,,,,AFLRET26000184,2026-08-08 12:30:00,No,Ananya Das,2026-08-08 12:30:00,Business Owner,Self-Employed,0.2,No
825,Priyanka,Vaidyanathan,AFL-RET-000825,Social media,Property Power JUN26,CMP-2026-0029,2026-06-16 14:58:00,,9929227166,,priyanka.vaidyanathan71@hotmail.com,1972-03-23,SWJPV2208W,PAN_Priyanka_Vaidyanathan.pdf,Chennai,Chennai,Tamil Nadu,600035,India,Vehicle & Consumer Loans,Two-Wheeler Loan,225000,2026-07-16,Saravanan Rajan,Chennai — T Nagar,Tamil Nadu Region,South Zone,Not interested,NI-04,Requirement postponed,,,2026-06-18 11:06:00,No,Saravanan Rajan,2026-06-18 11:06:00,Salaried — MNC,Salaried,0.8,No
826,Vaishnavi,Sawant,AFL-RET-000826,Landing page,Gold Utsav NOV25,CMP-2025-0009,2025-11-23 13:44:00,,7193326073,,vaishnavi.sawant62@outlook.com,2003-06-09,TAVPV6244Y,PAN_Vaishnavi_Sawant.pdf,Surat,Surat,Gujarat,395017,India,Loan Against Property,Lease Rental Discounting,17500000,2025-12-23,Omkar Shah,Surat — Adajan,Gujarat Region,West Zone,Rejected,REJ-07,Existing obligations too high (FOIR),,,2025-11-25 16:59:00,No,Omkar Shah,2025-11-25 16:59:00,Self-Employed Non-Professional,Self-Employed,,No
827,Rutuja,Thakkar,AFL-RET-000827,Landing page,Shiksha Education MAY26,CMP-2026-0026,2026-05-31 10:37:00,,9101844332,8462377821,,1985-02-02,TKVPG1318F,PAN_Rutuja_Thakkar.pdf,Pune,Pune,Maharashtra,411057,India,Retail Personal Loans,Home Renovation Loan,1100000,2026-07-15,Sagar Vora,Pune — Wakad,Maharashtra Region,West Zone,Not interested,NI-02,Already availed loan elsewhere,,,2026-06-01 10:54:00,No,Sagar Vora,2026-06-01 10:54:00,Salaried — Government / PSU,Salaried,0.3,No
828,Kavita,Bansal,AFL-RET-000828,Social media,Shubh Vivah FEB26,CMP-2026-0015,2026-02-02 12:31:00,,7532854142,6234477084,kavita.bansal@gmail.com,1982-02-10,GHHPS1542B,PAN_Kavita_Bansal.pdf,Faridabad,Faridabad,Haryana,121007,India,Retail Personal Loans,Marriage Loan,325000,2026-04-03,Sumit Sinha,Faridabad — Sector 15,Delhi NCR Region,North Zone,Not interested,NI-06,Family / spouse declined,,,2026-02-05 15:49:00,No,Sumit Sinha,2026-02-05 15:49:00,Salaried — Private Sector,Salaried,0.2,No
829,Tejas,Chavan,AFL-RET-000829,Social media,Gold Utsav OCT25,CMP-2025-0003,2025-10-08 13:58:00,244998493,7251934373,,tejas.chavan@hotmail.com,1977-01-02,,,Mumbai,Mumbai Suburban,Maharashtra,400054,India,Gold & Secured Loans,Gold Loan,350000,2025-12-07,Jayesh Chavan,Mumbai — Bandra,Maharashtra Region,West Zone,Rejected,REJ-12,GST / ITR not available,,,2025-10-20 10:34:00,No,Jayesh Chavan,2025-10-20 10:34:00,Business Owner,Self-Employed,,No
830,Deepak,Malhotra,AFL-RET-000830,Landing page,Property Power JUN26,CMP-2026-0029,2026-06-08 20:05:00,,7963523652,,deepak.malhotra@gmail.com,1968-11-13,AUBPE8182J,PAN_Deepak_Malhotra.pdf,Faridabad,Faridabad,Haryana,121002,India,Loan Against Property,Loan Against Property,6500000,2026-08-07,Sumit Sinha,Faridabad — Sector 15,Delhi NCR Region,North Zone,Disbursed,,,,AFLRET26000185,2026-06-25 11:29:00,No,Sumit Sinha,2026-06-25 11:29:00,Business Owner,Self-Employed,0.2,No
831,Sailaja,Sastry,AFL-RET-000831,Landing page,Property Power APR26,CMP-2026-0023,2026-04-03 10:31:00,,7145860188,7111821923,sailaja.sastry@hotmail.com,1996-08-01,QFBPT4994D,PAN_Sailaja_Sastry.pdf,Vijayawada,Krishna,Andhra Pradesh,520013,India,Retail Home Loans,Home Loan Balance Transfer,6000000,2026-05-03,Sirisha Chowdary,Vijayawada — MG Road,Kerala & AP Region,South Zone,Disbursed,,,,AFLRET26000186,2026-05-08 11:19:00,No,Sirisha Chowdary,2026-05-08 11:19:00,Salaried — Private Sector,Salaried,2.9,Yes
832,Bhaskar,Prasad,AFL-RET-000832,Social media,Property Power APR26,CMP-2026-0023,2026-04-09 09:18:00,599120130,6924578425,,bhaskar.prasad@rediffmail.com,1973-11-05,,,Hyderabad,Rangareddy,Telangana,500019,India,Business & MSME Loans,MSME Growth Loan,575000,2026-05-09,Swapna Gupta,Hyderabad — Gachibowli,Telangana Region,South Zone,Not reachable,NR-01,Number switched off / unreachable,,,2026-04-11 09:43:00,No,Swapna Gupta,2026-04-11 09:43:00,Business Owner,Self-Employed,1.9,No
833,Kishore,Varma,AFL-RET-000833,Social media,Vyapar Vriddhi FEB26,CMP-2026-0016,2026-02-23 16:58:00,643210643,6871049661,,kishore.varma@outlook.com,1976-07-13,,,Hyderabad,Rangareddy,Telangana,500049,India,Business & MSME Loans,Working Capital Loan,16000000,2026-04-24,Mahesh Varma,Hyderabad — Gachibowli,Telangana Region,South Zone,Not interested,NI-04,Requirement postponed,,,2026-02-25 11:57:00,No,Mahesh Varma,2026-02-25 11:57:00,Homemaker,Self-Employed,0.2,No
834,Nandini,Setty,AFL-RET-000834,Landing page,Vyapar Vriddhi JAN26,CMP-2026-0013,2026-01-09 19:05:00,,7499274924,,nandini.setty27@outlook.com,1982-12-06,,,Bengaluru,Bengaluru Urban,Karnataka,560048,India,Business & MSME Loans,Working Capital Loan,5500000,2026-02-08,Kiran Udupa,Bengaluru — Whitefield,Karnataka Region,South Zone,Rejected,REJ-01,Credit / bureau issue (CIBIL below cut-off),,,2026-01-15 13:20:00,No,Kiran Udupa,2026-01-15 13:20:00,Self-Employed Professional,Self-Employed,,No
835,Tanmoy,Sen,AFL-RET-000835,Landing page,Ghar Ka Sapna OCT25,CMP-2025-0002,2025-10-16 09:12:00,,8104668233,8286637817,tanmoy.sen@gmail.com,1976-07-27,UBAPL7137P,PAN_Tanmoy_Sen.pdf,Kolkata,Kolkata,West Bengal,700091,India,Retail Home Loans,Home Purchase Loan,2600000,2025-12-15,Paromita Majumdar,Kolkata — Salt Lake,West Bengal Region,East Zone,Disbursed,,,,AFLRET25000187,2025-11-09 09:24:00,No,Paromita Majumdar,2025-11-09 09:24:00,Homemaker,Self-Employed,0.5,No
836,Nandhini,Murugan,AFL-RET-000836,Website,Shiksha Education JUN26,CMP-2026-0028,2026-06-06 20:58:00,108110821,7718051398,,nandhini.murugan65@gmail.com,1998-07-05,DQGPM2339V,PAN_Nandhini_Murugan.pdf,Madurai,Madurai,Tamil Nadu,625014,India,Business & MSME Loans,Machinery Purchase Loan,2900000,2026-08-05,Kavya Krishnan,Madurai — Anna Nagar,Tamil Nadu Region,South Zone,Sanctioned,,,,AFLRET26000188,2026-06-23 09:48:00,No,Kavya Krishnan,2026-06-23 09:48:00,Self-Employed Non-Professional,Self-Employed,1.7,No
837,Sailaja,Murthy,AFL-RET-000837,Social media,Shiksha Education MAY26,CMP-2026-0026,2026-05-08 09:00:00,,7148886694,8389711913,sailaja.murthy@hotmail.com,1989-02-12,,,Visakhapatnam,Visakhapatnam,Andhra Pradesh,530003,India,Retail Home Loans,Plot + Construction Loan,1200000,2026-06-07,Chandra Naidu,Vizag — Dwaraka Nagar,Kerala & AP Region,South Zone,Rejected,REJ-08,Employer / company not approved,,,2026-05-12 16:15:00,No,Chandra Naidu,2026-05-12 16:15:00,Self-Employed Non-Professional,Self-Employed,,No
838,Amit,Khanna,AFL-RET-000838,Social media,Vyapar Vriddhi MAR26,CMP-2026-0020,2026-03-24 10:23:00,,8865288497,,amit.khanna41@yahoo.com,1991-06-14,,,Ludhiana,Ludhiana,Punjab,141001,India,Business & MSME Loans,Machinery Purchase Loan,2100000,2026-05-08,Swati Saxena,Ludhiana — Mall Road,North India Region,North Zone,Not interested,NI-06,Family / spouse declined,,,2026-03-27 14:41:00,No,Swati Saxena,2026-03-27 14:41:00,Business Owner,Self-Employed,0.2,No
839,Mihir,Rane,AFL-RET-000839,Website,Swasthya Care JUL26,CMP-2026-0032,2026-07-14 13:23:00,,8780769002,,mihir.rane43@rediffmail.com,2002-10-18,QAGPK3435V,PAN_Mihir_Rane.pdf,Vadodara,Vadodara,Gujarat,390020,India,Business & MSME Loans,MSME Growth Loan,1400000,2026-08-13,Chirag Vora,Vadodara — Alkapuri,Gujarat Region,West Zone,Sanctioned,,,,AFLRET26000189,2026-07-27 18:24:00,No,Chirag Vora,2026-07-27 18:24:00,Self-Employed Non-Professional,Self-Employed,0.2,No
840,Sandesh,Acharya,AFL-RET-000840,PQ Campaign,Property Power APR26,CMP-2026-0023,2026-04-06 10:23:00,317398082,9233649125,6610825504,sandesh.acharya@gmail.com,1978-10-23,,,Bengaluru,Bengaluru Urban,Karnataka,560029,India,Retail Personal Loans,Kushal Personal Loan,2200000,2026-06-05,Vinay Nair,Bengaluru — Koramangala,Karnataka Region,South Zone,Not reachable,NR-03,No response after 3 attempts,,,2026-04-08 15:22:00,No,Vinay Nair,2026-04-08 15:22:00,Salaried — Private Sector,Salaried,8.9,Yes
841,Sandesh,Kulkarni,AFL-RET-000841,Landing page,Shiksha Education AUG26,CMP-2026-0034,2026-08-03 10:37:00,,7815519953,,sandesh.kulkarni@gmail.com,1974-11-14,UJEPW7873L,PAN_Sandesh_Kulkarni.pdf,Bengaluru,Bengaluru Urban,Karnataka,560037,India,Retail Personal Loans,Kushal Personal Loan,165000,2026-10-02,Deepa Iyengar,Bengaluru — Whitefield,Karnataka Region,South Zone,Disbursed,,,,AFLRET26000190,2026-09-10 11:36:00,No,Deepa Iyengar,2026-09-10 11:36:00,Salaried — Government / PSU,Salaried,0.6,No
842,Satish,Babu,AFL-RET-000842,Website,Vyapar Vriddhi JAN26,CMP-2026-0013,2026-01-05 20:18:00,,7417611242,,satish.babu97@hotmail.com,1990-01-12,NTPPB7393A,PAN_Satish_Babu.pdf,Visakhapatnam,Visakhapatnam,Andhra Pradesh,530016,India,Retail Home Loans,Disha Home Loan,4000000,2026-03-06,Chandra Naidu,Vizag — Dwaraka Nagar,Kerala & AP Region,South Zone,Sanctioned,,,,AFLRET26000191,2026-01-16 10:46:00,No,Chandra Naidu,2026-01-16 10:46:00,Salaried — Private Sector,Salaried,0.2,No
843,Hardik,Jadhav,AFL-RET-000843,PQ Campaign,Safar Travel MAR26,CMP-2026-0022,2026-03-19 19:37:00,510711485,7165201936,,hardik.jadhav7@gmail.com,2000-11-28,KZWPM6093X,PAN_Hardik_Jadhav.pdf,Mumbai,Mumbai Suburban,Maharashtra,400097,India,Retail Personal Loans,Travel Loan,250000,2026-04-18,Aniket Modi,Mumbai — Powai,Maharashtra Region,West Zone,Sanctioned,,,,AFLRET26000192,2026-03-26 10:08:00,No,Aniket Modi,2026-03-26 10:08:00,Salaried — Government / PSU,Salaried,0.2,No
844,Pranav,Patel,AFL-RET-000844,Social media,Shubh Vivah DEC25,CMP-2025-0011,2025-12-04 11:44:00,,9894449629,,pranav.patel21@gmail.com,1992-11-23,YXPPP5094A,PAN_Pranav_Patel.pdf,Ahmedabad,Ahmedabad,Gujarat,380054,India,Professional Loans,CA / Professional Loan,3600000,2026-01-03,Payal Vora,Ahmedabad — CG Road,Gujarat Region,West Zone,Disbursed,,,,AFLRET25000193,2026-01-02 09:13:00,No,Payal Vora,2026-01-02 09:13:00,Self-Employed Professional,Self-Employed,14.3,Yes
845,Lavanya,Varma,AFL-RET-000845,Website,Swasthya Care AUG26,CMP-2026-0035,2026-08-06 10:05:00,,6474369532,,lavanya.varma@rediffmail.com,1984-11-09,RNJPY8652U,PAN_Lavanya_Varma.pdf,Hyderabad,Hyderabad,Telangana,500073,India,Retail Home Loans,Plot + Construction Loan,1600000,2026-09-20,Sirisha Prasad,Hyderabad — Banjara Hills,Telangana Region,South Zone,Not interested,NI-02,Already availed loan elsewhere,,,2026-08-10 14:23:00,No,Sirisha Prasad,2026-08-10 14:23:00,Salaried — Government / PSU,Salaried,0.2,No
846,Bikash,Dutta,AFL-RET-000846,Landing page,Balance Transfer Bonanza JUN26,CMP-2026-0030,2026-06-23 14:58:00,,7139663051,,bikash.dutta@gmail.com,1984-05-22,UVLPM8639D,PAN_Bikash_Dutta.pdf,Siliguri,Darjeeling,West Bengal,734004,India,Retail Personal Loans,Debt Consolidation Loan,750000,2026-07-23,Srabani Chatterjee,Siliguri — Sevoke Road,West Bengal Region,East Zone,Not reachable,NR-03,No response after 3 attempts,,,2026-06-24 16:58:00,No,Srabani Chatterjee,2026-06-24 16:58:00,Salaried — MNC,Salaried,2,No
847,Gaurav,Khanna,AFL-RET-000847,Landing page,Balance Transfer Bonanza FEB26,CMP-2026-0017,2026-02-08 11:18:00,,6532435956,,gaurav.khanna34@hotmail.com,1973-06-28,QJUPM1160J,PAN_Gaurav_Khanna.pdf,Kanpur,Kanpur Nagar,Uttar Pradesh,208005,India,Retail Home Loans,Home Loan Balance Transfer,7500000,2026-03-25,Nitin Bansal,Kanpur — Civil Lines,North India Region,North Zone,Rejected,REJ-10,Technical valuation below expectation,,,2026-02-16 14:33:00,No,Nitin Bansal,2026-02-16 14:33:00,Salaried — MNC,Salaried,,No
848,Anand,Reddy,AFL-RET-000848,PQ Campaign,Vyapar Vriddhi JAN26,CMP-2026-0013,2026-01-22 19:05:00,648139940,9421904648,8637713313,anand.reddy@gmail.com,1973-05-25,YLPPP6355Z,PAN_Anand_Reddy.pdf,Bengaluru,Bengaluru Urban,Karnataka,560011,India,Business & MSME Loans,Working Capital Loan,4800000,2026-03-23,Nandini Rao,Bengaluru — Jayanagar,Karnataka Region,South Zone,Disbursed,,,,AFLRET26000194,2026-02-16 15:55:00,No,Nandini Rao,2026-02-16 15:55:00,Business Owner,Self-Employed,0.3,No
849,Nilima,Pradhan,AFL-RET-000849,Website,Vyapar Vriddhi MAR26,CMP-2026-0020,2026-03-13 20:51:00,,9743494456,,nilima.pradhan29@yahoo.com,1991-08-10,,,Ranchi,Ranchi,Jharkhand,834009,India,Business & MSME Loans,Vyapar Business Loan,2600000,2026-04-27,Anita Bora,Ranchi — Main Road,East India Region,East Zone,Not interested,NI-05,Processing fee not acceptable,,,2026-03-17 16:57:00,No,Anita Bora,2026-03-17 16:57:00,Business Owner,Self-Employed,0.2,No
850,Ashwin,Anand,AFL-RET-000850,Social media,Shiksha Education JUL26,CMP-2026-0031,2026-07-05 15:12:00,,9991306073,,ashwin.anand@yahoo.com,1974-02-11,HBWPT2347J,PAN_Ashwin_Anand.pdf,Chennai,Chennai,Tamil Nadu,600090,India,Vehicle & Consumer Loans,Consumer Durable Loan,40000,2026-09-03,Gokul Srinivasan,Chennai — Adyar,Tamil Nadu Region,South Zone,Not interested,NI-05,Processing fee not acceptable,,,2026-07-08 17:30:00,No,Gokul Srinivasan,2026-07-08 17:30:00,Salaried — Government / PSU,Salaried,0.3,No
851,Swapnil,Shah,AFL-RET-000851,Website,Shubh Vivah DEC25,CMP-2025-0011,2025-12-21 14:44:00,,8684923424,,swapnil.shah@rediffmail.com,1988-04-20,,,Mumbai,Mumbai Suburban,Maharashtra,400069,India,Retail Home Loans,Home Loan Balance Transfer,7500000,2026-02-19,Mihir Bhatt,Mumbai — Andheri,Maharashtra Region,West Zone,Rejected,REJ-13,Others,,,2025-12-23 11:59:00,No,Mihir Bhatt,2025-12-23 11:59:00,Salaried — Government / PSU,Salaried,,No
852,Bhakti,Sawant,AFL-RET-000852,Website,Property Power MAY26,CMP-2026-0027,2026-05-03 19:23:00,,8473351543,,bhakti.sawant@rediffmail.com,1984-08-02,YNJPQ4817C,PAN_Bhakti_Sawant.pdf,Mumbai,Mumbai Suburban,Maharashtra,400058,India,Retail Personal Loans,Medical Emergency Loan,800000,2026-06-02,Bhavesh Patil,Mumbai — Andheri,Maharashtra Region,West Zone,Rejected,REJ-07,Existing obligations too high (FOIR),,,2026-05-14 11:15:00,No,Bhavesh Patil,2026-05-14 11:15:00,Business Owner,Self-Employed,,No
853,Chandra,Prasad,AFL-RET-000853,Landing page,Gold Utsav APR26,CMP-2026-0024,2026-04-18 12:18:00,508756309,9285635814,,,1988-02-25,,,Vijayawada,Krishna,Andhra Pradesh,520010,India,Gold & Secured Loans,Gold Loan,30000,2026-06-17,Sirisha Chowdary,Vijayawada — MG Road,Kerala & AP Region,South Zone,Not interested,NI-05,Processing fee not acceptable,,,2026-04-21 15:42:00,No,Sirisha Chowdary,2026-04-21 15:42:00,Salaried — Private Sector,Salaried,0.4,No
854,Kishore,Achari,AFL-RET-000854,Landing page,Vyapar Vriddhi MAR26,CMP-2026-0020,2026-03-17 17:31:00,576374826,7204328310,,kishore.achari24@hotmail.com,1996-09-19,PAXPJ1090M,PAN_Kishore_Achari.pdf,Hyderabad,Rangareddy,Telangana,500019,India,Business & MSME Loans,Vyapar Business Loan,2200000,2026-05-16,Swapna Gupta,Hyderabad — Gachibowli,Telangana Region,South Zone,Rejected,REJ-05,OGL — outside the geo location,,,2026-03-29 11:46:00,No,Swapna Gupta,2026-03-29 11:46:00,Business Owner,Self-Employed,,No
855,Vaishnavi,Deshmukh,AFL-RET-000855,Social media,Professional Edge AUG26,CMP-2026-0036,2026-08-27 09:31:00,,7556273853,,vaishnavi.deshmukh@yahoo.com,2000-08-25,LPRPJ3441B,PAN_Vaishnavi_Deshmukh.pdf,Pune,Pune,Maharashtra,411027,India,Retail Home Loans,Home Loan Balance Transfer,8000000,2026-10-11,Sagar Vora,Pune — Wakad,Maharashtra Region,West Zone,Login Initiated,,,,,2026-09-02 09:12:00,No,Sagar Vora,2026-09-02 09:12:00,Salaried — Government / PSU,Salaried,3.5,Yes
856,Amit,Malhotra,AFL-RET-000856,PQ Campaign,Swasthya Care AUG26,CMP-2026-0035,2026-08-05 09:58:00,254025148,6418173487,,amit.malhotra@rediffmail.com,1971-05-09,,,Noida,Gautam Buddha Nagar,Uttar Pradesh,201305,India,Retail Personal Loans,Kushal Personal Loan,4200000,2026-09-19,Ritika Singh,Noida — Sector 62,Delhi NCR Region,North Zone,Follow-up,,,2026-09-11,,2026-08-06 09:34:00,No,Ritika Singh,2026-08-06 09:34:00,Salaried — Private Sector,Salaried,0.5,No
857,Nisha,Jadhav,AFL-RET-000857,Website,Vyapar Vriddhi JAN26,CMP-2026-0013,2026-01-05 10:05:00,,7109613520,,nisha.jadhav@gmail.com,1990-01-11,LNKPG4042H,PAN_Nisha_Jadhav.pdf,Pune,Pune,Maharashtra,411001,India,Business & MSME Loans,MSME Growth Loan,1700000,2026-02-04,Parth Parikh,Pune — Shivajinagar,Maharashtra Region,West Zone,Disbursed,,,,AFLRET26000195,2026-01-28 09:54:00,No,Parth Parikh,2026-01-28 09:54:00,Homemaker,Self-Employed,11.1,Yes
858,Anjali,Arora,AFL-RET-000858,Website,Property Power JUN26,CMP-2026-0029,2026-06-01 12:37:00,166006300,7531988928,,anjali.arora61@outlook.com,1971-04-18,,,Faridabad,Faridabad,Haryana,121002,India,Loan Against Property,Lease Rental Discounting,31500000,2026-07-16,Sumit Sinha,Faridabad — Sector 15,Delhi NCR Region,North Zone,Rejected,REJ-04,Negative / restricted profile,,,2026-06-02 13:52:00,No,Sumit Sinha,2026-06-02 13:52:00,Business Owner,Self-Employed,,No
859,Lakshmi,Venkatesh,AFL-RET-000859,Website,Balance Transfer Bonanza JUL26,CMP-2026-0033,2026-07-31 13:18:00,,8349974781,,lakshmi.venkatesh@yahoo.com,1989-05-22,DETPL1963M,PAN_Lakshmi_Venkatesh.pdf,Chennai,Chennai,Tamil Nadu,600020,India,Business & MSME Loans,Vyapar Business Loan,1100000,2026-09-29,Suresh Raman,Chennai — Adyar,Tamil Nadu Region,South Zone,Sanctioned,,,,AFLRET26000196,2026-08-12 10:36:00,No,Suresh Raman,2026-08-12 10:36:00,Self-Employed Professional,Self-Employed,0.2,No
860,Kavita,Malhotra,AFL-RET-000860,Website,Property Power APR26,CMP-2026-0023,2026-04-16 10:37:00,,8752479188,,kavita.malhotra@gmail.com,1972-06-09,LHWPY5709K,PAN_Kavita_Malhotra.pdf,Faridabad,Faridabad,Haryana,121006,India,Business & MSME Loans,MSME Growth Loan,1600000,2026-05-31,Sumit Sinha,Faridabad — Sector 15,Delhi NCR Region,North Zone,Disbursed,,,,AFLRET26000197,2026-04-30 11:10:00,No,Sumit Sinha,2026-04-30 11:10:00,Self-Employed Non-Professional,Self-Employed,0.2,No
861,Alok,Prasad,AFL-RET-000861,PQ Campaign,Shubh Vivah JAN26,CMP-2026-0012,2026-01-10 14:37:00,256721580,9242021405,,alok.prasad5@outlook.com,1995-05-17,,,Bhubaneswar,Khordha,Odisha,751010,India,Retail Home Loans,Plot + Construction Loan,2300000,2026-03-11,Rakesh Deka,Bhubaneswar — Saheed Nagar,East India Region,East Zone,Rejected,REJ-06,Documentation — unable to provide,,,2026-01-21 11:47:00,No,Rakesh Deka,2026-01-21 11:47:00,Homemaker,Self-Employed,,No
862,Sanoj,Pillai,AFL-RET-000862,Website,Diwali Dhamaka NOV25,CMP-2025-0006,2025-11-12 10:37:00,,9337356620,,sanoj.pillai@outlook.com,1999-08-11,ZKGPU7258A,PAN_Sanoj_Pillai.pdf,Kochi,Ernakulam,Kerala,682024,India,Vehicle & Consumer Loans,Consumer Durable Loan,115000,2025-12-27,Anjana Menon,Kochi — Kaloor,Kerala & AP Region,South Zone,Not interested,NI-03,Only enquiring — no current need,,,2025-11-14 09:39:00,No,Anjana Menon,2025-11-14 09:39:00,Salaried — Private Sector,Salaried,0.2,No
863,Arun,Krishnan,AFL-RET-000863,Social media,Professional Edge FEB26,CMP-2026-0018,2026-02-09 20:31:00,424222534,6135648750,9155710896,arun.krishnan@gmail.com,1990-12-14,,,Kochi,Ernakulam,Kerala,682036,India,Retail Home Loans,Disha Home Loan,5500000,2026-03-11,Anjana Menon,Kochi — Kaloor,Kerala & AP Region,South Zone,Not interested,NI-06,Family / spouse declined,,,2026-02-11 10:45:00,No,Anjana Menon,2026-02-11 10:45:00,Business Owner,Self-Employed,0.2,No
864,Divya,Krishnan,AFL-RET-000864,Social media,Vyapar Vriddhi FEB26,CMP-2026-0016,2026-02-02 14:37:00,714576391,7214300883,,divya.krishnan@outlook.com,1985-07-04,ANLPN5043U,PAN_Divya_Krishnan.pdf,Coimbatore,Coimbatore,Tamil Nadu,641037,India,Business & MSME Loans,Working Capital Loan,3200000,2026-03-04,Muthu Krishnan,Coimbatore — RS Puram,Tamil Nadu Region,South Zone,Not interested,NI-01,Rate of interest too high,,,2026-02-03 11:31:00,No,Muthu Krishnan,2026-02-03 11:31:00,Self-Employed Professional,Self-Employed,1.1,No
